place_id,business_name,address
fausto_bk,Fausto,348 Flatbush Ave Brooklyn NY 11238
aldi_la_bk,Al Di La Trattoria,248 5th Ave Brooklyn NY 11215
masalawala_bk,Masalawala & Sons,365 5th Ave Brooklyn NY 11215
petite_dumpling_bk,Petite Dumpling,276 5th Ave Brooklyn NY 11215
daigo_bk,Daigo,527 Carroll St Brooklyn NY 11215
bonnies_bk,Bonnies Grill,278 5th Ave Brooklyn NY 11215
la_taq_bk,La Taq,70 7th Ave Brooklyn NY 11217
sawa_bk,Sawa,75 5th Ave Brooklyn NY 11217
il_leone_bk,Il Leone,158 7th Ave Brooklyn NY 11215
vato_bk,Vato,226 7th Ave Brooklyn NY 11215
